Question,Correct Answer,Simple Answer,RAG Answer,Multi-Question Answer,Simple Answer Points,Simple Answer Justification,RAG Answer Points,RAG Answer Justification,Multi-Question Answer Points,Multi-Question Answer Justification,Simple Answer Overall Score,RAG Answer Overall Score,Multi-Question Answer Overall Score
What is the name of the object used by Dumbledore to review memories?,Pensieve,"{'properties': {'question': {'title': 'Question', 'description': 'The user question', 'type': 'string'}, 'answer': {'title': 'Answer', 'description': 'The answer to the question', 'type': 'string'}, 'source': {'title': 'Source', 'description': 'The source that was used to answer the question', 'type': 'string'}}, 'required': ['question', 'answer', 'source']}","{'answer': 'The Resurrection Stone is not used by Dumbledore to review memories, but rather to bring back the dead.', 'source': 'Harry Potter and the Half-Blood Prince, Chapter 17 – A Sluggish Memory'}","{'answer': 'The Resurrection Stone', 'source': ""Dumbledore's use of the Resurrection Stone to access memories""}",0,The given answer is not in the format expected by the schema and does not provide an answer to the question.,0,"The given answer is incorrect as it mentions the Resurrection Stone instead of the Pensieve, which is used by Dumbledore to review memories.",0,"The given answer is incorrect as it mentions the Resurrection Stone instead of the Pensieve, which is the correct answer for Dumbledore's object used to review memories.",372.0,594.0,624.0
What is the title of the book Hermione gives to Harry before his first ever Quidditch match?,Quidditch Through the Ages,"{'answer': ""A Marauder's Map"", 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'Quidditch Through the Ages', 'source': ""The excerpt provided from 'Harry Potter and the Philosopher's Stone'""}","{'answer': 'Quidditch Through the Ages', 'source': ""The text itself (Chapter 11) mentions that Harry borrows a book entitled 'Quidditch Through the Ages' from Hermione before his first Quidditch match.""}",0,The given answer 'A Marauder's Map' is incorrect as per the provided correct answer which is 'Quidditch Through the Ages',3,The given answer matches the correct answer.,3,The given answer matches the correct answer and includes a justification based on evidence from the text.,372.0,594.0,624.0
Name the spell that conjures a Patronus.,Expecto Patronum,"{'answer': ""The Patronus charm is performed by drawing an arrow in the air from the wand, followed by the circular Protecto spell and finally the word 'Patronus'."", 'source': ""J.K. Rowling's Harry Potter series""}","{'answer': 'The Patronus Charm', 'source': 'The extract describes Dumbledore using the Patronus Charm to conjure his Patronus.'}","{'answer': 'Patronus Charm', 'source': 'The text describes the Patronus Charm as the spell used to conjure a Patronus.'}",2,The given answer is incomplete as it does not directly name the specific spell 'Expecto Patronum' that conjures a Patronus.,3,The given answer correctly identifies the name of the spell used to conjure a Patronus.,3,The given answer correctly identifies the spell as the Patronus Charm. The term 'Patronus Charm' is an alternate name for the Expecto Patronum spell.,372.0,594.0,624.0
What is the model of the first broom Harry ever receives?,Nimbus 2000,"{'answer': 'The model of the first broom Harry ever receives is a Nimbus 2000.', 'source': ""Harry Potter and the Philosopher's Stone by J.K. Rowling.""}","{'answer': 'Nimbus 2000', 'source': ""Harry's first broom was a Nimbus 2000, which he received as a gift from Professor McGonagall after agreeing to join the Gryffindor Quidditch team in 1991.""}","{'answer': 'Nimbus 2000', 'source': 'The context mentions that the first broomstick Harry received was a Nimbus 2000.'}",3,The given answer matches the correct answer.,3,The given answer matches the correct answer and also provides additional contextual information about Harry's receipt of the Nimbus 2000 broom.,3,The given answer matches the correct answer.,372.0,594.0,624.0
"What is the name of the goblin who helps Harry, Ron, and Hermione break into Bellatrix Lestrange's vault?",Griphook,"{'answer': 'Griphook', 'source': 'Harry Potter and the Deathly Hallows'}","{'answer': 'Griphook', 'source': ""J.K. Rowling's 'Harry Potter and the Deathly Hallows'""}","{'answer': 'Griphook', 'source': ""J.K. Rowling's Harry Potter and the Deathly Hallows, Chapter 26: Gringotts""}",3,The given answer matches the correct answer.,3,The given answer matches the correct answer and also includes a valid source.,3,The given answer matches the correct answer.,372.0,594.0,624.0
What does S.P.E.W. stand for?,Society for the Promotion of Elfish Welfare,"{'answer': 'Searchable Product Exchange Wikia', 'source': 'Wikipedia'}","{'answer': 'Society for the Promotion of Elfish Welfare', 'source': 'The text mentions that Hermione Granger is the founder and secretary of S.P.E.W. (Society for the Promotion of Elfish Welfare).'}","{'answer': 'Society for the Promotion of Elfish Welfare', 'source': ""Harry Potter and the Philosopher's Stone""}",0,"The given answer is incorrect as it does not match the correct answer provided. S.P.E.W. stands for Society for the Promotion of Elfish Welfare in the Harry Potter series, whereas the given answer refers to a different acronym.",3,"The given answer correctly states that S.P.E.W. stands for 'Society for the Promotion of Elfish Welfare', and provides a justification by referencing a source in the text.",3,The given answer matches the correct answer.,372.0,594.0,624.0
Who is the author of 'The Life and Lies of Albus Dumbledore'?,Rita Skeeter,"{'answer': 'J.K. Rowling', 'source': 'Wikipedia'}","{'answer': 'J.K. Rowling', 'source': 'Rowling, J.K. The Life and Lies of Albus Dumbledore. Scholastic Corporation, 2001.'}","{'answer': 'J.K. Rowling', 'source': 'The excerpt provided is from Harry Potter and the Deathly Hallows by J.K. Rowling.'}",0,The given answer is incorrect as J.K. Rowling is not the author of 'The Life and Lies of Albus Dumbledore'. The correct answer is Rita Skeeter.,0,The given answer is wrong. The correct answer is Rita Skeeter.,0,The given answer is incorrect as it states 'J.K. Rowling' instead of the correct answer 'Rita Skeeter'.,372.0,594.0,624.0
What is the name of the potion that restores a person who has been petrified?,Mandrake Restorative Draught,"{'answer': ""The answer to this question is 'an answer that restores a person from petrification, such as an antidote potion in fantasy stories""}","{'answer': ""The name of the potion that restores a person who has been petrified is called the 'Anansi Concoction'. However, it's important to note that in the context of the Harry Potter series, there is no mention of such a potion being used by Albus Dumbledore or anyone else. The 'Emerald Potion', which was used by Dumbledore in the series, served to weaken him and reveal a vision rather than restore him from petrification.""}","{'answer': 'The Elixir of Life', 'source': ""J.K. Rowling's Harry Potter and the Philosopher's Stone, Chapter 17: The Man with Two Faces""}",2,The given answer is incomplete as it does not provide the specific name of the potion that restores a person from petrification.,0,"The given answer provides an incorrect name for the potion that restores a person who has been petrified. In Harry Potter series, 'Anansi Concoction' is not the name of the potion to restore a petrified person.",0,"The given answer is incorrect as it does not match the correct answer. In Harry Potter, it is the Mandrake Restorative Draught that restores a person who has been petrified.",372.0,594.0,624.0
What is the password to the Prefects' Bathroom in Harry Potter and the Goblet of Fire?,Pine Fresh,"{'answer': '<the_answer>', 'source': '<a_reliable_source>'}","{'answer': ""Harry does not find a solution to the riddle of the egg during his visit to the Prefects' Bathroom."", 'source': 'Harry Potter and the Goblet of Fire, Chapter 25 - The Egg and the Eye'}","{'answer': '', 'source': ''}",0,"The given answer does not match the correct answer. Therefore, no points are awarded.",1,The given answer does not provide the password to the Prefects' Bathroom.,0,The given answer is wrong as it is an empty dictionary instead of a string. The correct answer for this question is 'Pine Fresh'.,372.0,594.0,624.0
What spell does Harry use to save himself and Dumbledore from the Inferi in the cave?,Fire-making Spell (Incendio),"{'answer': 'Harry uses the Resurrection Stone to save himself and Dumbledore from the Inferi in the cave', 'source': 'Harry Potter and the Half-Blood Prince by J.K. Rowling'}","{'answer': 'Protego Totalum', 'source': ""Harry Potter and the Deathly Hallows (Chapter 25, 'The Sword of Gryffindor')""}","{'answer': 'fire', 'source': {'title': 'Skirmish at the Cave, Harry Potter and the Half-Blood Prince', 'description': 'The scene where Harry and Dumbledore encounter Inferi in the cave and use fire to protect themselves'}}",0,"The given answer is incorrect as Harry does not use the Resurrection Stone to save himself and Dumbledore from the Inferi in the cave. Instead, he uses the Incendio spell to create a fire to burn the Inferi.",0,"Harry uses the Incendio spell to create fire and save himself and Dumbledore from the Inferi, not Protego Totalum.",2,"The given answer is incomplete as it only provides the keyword 'fire', but does not mention the specific spell name (Incendio) that Harry uses in the scene.",372.0,594.0,624.0
What is the name of the spell used to open locks?,Alohomora,"{'answer': ""The name of the spell used to open locks varies in different contexts such as fantasy literature or real-life magic practices. In general, it is often referred to as 'Open' or 'Unlock' spell. In some systems, it might be called 'Dispel Locks' or 'Overcome Obstacles'."", 'source': 'This information comes from a general knowledge base and may not apply specifically to any particular context.'}","{'answer': 'Alohomora', 'source': 'The name of the spell used to open locks is Alohomora.'}","{'answer': 'Alohomora', 'source': ""The spell 'Alohomora' is used to open locks in the Harry Potter universe.""}",2,The given answer is incomplete as it does not provide the specific name of the spell for opening locks. It only provides some general information about the existence and variability of such a spell.,3,The given answer matches the correct answer.,3,The given answer correctly identifies the name of the spell used to open locks in the Harry Potter universe. It also includes a justification for the points earned by providing the source of the information.,372.0,594.0,624.0
"What is the only book in the Hogwarts library that contains information on Horcruxes, by name?",Secrets of the Darkest Art,"{'answer': ""The book named 'The Tale of the Three Brothers' in J.K. Rowling's Harry Potter series contains information on Horcruxes."", 'source': ""J.K. Rowling's Harry Potter and the Deathly Hallows novel""}","{'answer': ""The Only book in the Hogwarts library that contains information on Horcruxes, by name, is 'Harry Potter and the Deathly Hallows' by J.K. Rowling."", 'source': 'Harry Potter and the Deathly Hallows – a novel written by J.K. Rowling.'}","{'answer': 'No such book was found in the Hogwarts library.', 'source': 'The text provided indicates that Hermione searched thoroughly through the restricted section and other books without finding any explanation of Horcruxes.'}",0,The given answer is incorrect as 'The Tale of the Three Brothers' does not contain information on Horcruxes by name.,0,"The given answer is incorrect as it states that 'Harry Potter and the Deathly Hallows' contains information on Horcruxes by name, while the correct answer is 'Secrets of the Darkest Art'.",1,"The given answer states that no such book was found in the Hogwarts library, which is a valid response based on the provided context.",372.0,594.0,624.0
Who was the original owner of the Elder Wand before it passed to Dumbledore?,Antioch Peverell,"{'answer': 'The original owner of the Elder Wand before it passed to Dumbledore was Gellert Grindelwald.', 'source': ""J.K. Rowling's Harry Potter series, specifically 'Harry Potter and the Deathly Hallows'""}","{'answer': 'The original owner of the Elder Wand before it passed to Dumbledore was none other than Lord Voldemort himself.', 'source': 'Harry Potter and the Deathly Hallows by J.K. Rowling'}","{'answer': 'Gellert Grindelwald', 'source': 'Harry Potter and the Deathly Hallows (Chapter 26: The Goblet of Fire)'}",0,The given answer is incorrect as Gellert Grindelwald was not the original owner of the Elder Wand but rather obtained it after Dumbledore.,0,"The given answer is incorrect as it states that Lord Voldemort was the original owner of the Elder Wand before it passed to Dumbledore. However, in reality, it was Antioch Peverell who was the original owner.",0,The given answer is incorrect. The original owner of the Elder Wand before it passed to Dumbledore was Antioch Peverell according to 'Harry Potter and the Deathly Hallows' – 'Chapter 17: The Plotting of Voldemort',372.0,594.0,624.0
"In 'Harry Potter and the Chamber of Secrets', which spell does Harry use to kill the Basilisk?","Godric Gryffindor's Sword (not a spell, but the means used to kill the Basilisk)","{'answer': 'expelliarmus', 'source': ""J.K. Rowling's 'Harry Potter and the Chamber of Secrets'""}","{'answer': 'The spell Harry uses to kill the Basilisk is not explicitly stated in the text. However, it can be inferred that he stabs the serpent with a sword.', 'source': 'CS C18'}","{'answer': 'The spell Harry uses to kill the Basilisk is not explicitly stated in the text, but it can be inferred that he stabs it with the sword of Gryffindor.', 'source': ""J.K. Rowling, 'Harry Potter and the Chamber of Secrets'""}",0,"Expelliarmus is a wand spell used to disarm opponents, not to kill the Basilisk.",2,"The given answer is incomplete as it does not specify which spell Harry uses to kill the Basilisk, only mentioning that he stabs the serpent with a sword.",1,"The given answer acknowledges that no specific spell is mentioned in the text for killing the Basilisk, but provides an alternative method used to accomplish the task. While it does not provide a complete or definitive answer, it still offers some information related to the question.",372.0,594.0,624.0
